name,value
pay_grad_name,S
valid_from,2026.04.01
link,https://www.dbb.de/fileadmin/user_upload/globale_elemente/pdfs/2026/Einkommensrunde_TV-L/260214_Einigungspapier_TV-L_25_26.pdf
name_en,Collective Agreement for Employees in the Social and Educational Service
name_de,Tarifvertrag für Beschäftigte im Sozial- und Erziehungsdienst
prv,vbl-west;vbl-east;vbl-west-n-atv;vbl-east-n-atv;kvbw
allowances,tv-l-s-annual-bonus;tv-l-vwl;tv-l-function-allowance;tv-l-foreman-allowance;tv-l-tier-allowance;tv-l-care-allowance
