key,value
pay_grad_name,A
valid_from,2025.02.01
link,
name_de,Niedersächsische Besoldungsordnung A
name_en,Lower Saxony Salary Scale A
prv,
allowances,nds-general-position-allowance-anlage-9;nds-special-position-allowance-anlage-11;nds-official-allowances-A;nds-duz;nds-family-allowance;nds-family-allowance-lg1-extra;nds-candidate-base;nds-overtime;nds-overtime-school;nds-annual-special-payment
