key,value
pay_grad_name,B
valid_from,2025.02.01
link,https://finanzen.thueringen.de/themen/landeshaushalt/besoldung-und-versorgung
name_de,Besoldungsordnung B Freistaat Thüringen
name_en,Salary Scale B Free State of Thuringia
prv,
allowances,thueringen-family-allowance-all-stufe-1;thueringen-risk-weighted-amount
