T,1,2,3,4,5,6,8,9
9,372.29,372.29,0,0,0,0,0,0
10,0,410.46,0,0,0,0,0,0
12,0,0,0,216.26,0,0,0,0
13,378.32,0,259.36,259.36,129.77,0,378.32,378.32
14,0,0,0,259.36,0,0,0,0
15,0,0,0,259.36,0,0,0,0
16,290.09,0,0,0,0,0,290.09,0
