key,value
pay_grad_name,B
valid_from,2025.04.01
link,http://www.bgbl.de/xaver/bgbl/start.xav?startbk=Bundesanzeiger_BGBl&jumpTo=bgbl121s2444.pdf
name_de,Bundesbesoldungsordnung B
name_en,Federal Salary Scale B
prv,
allowances,bund-child-allowance-all-stufe-2;bund-child-allowance-all-stufe-1;bund-position-allowance-nr-04;bund-position-allowance-nr-07-B;bund-official-allowances-B
