key,value
pay_grad_name,AW
valid_from,2025.02.01
link,
name_de,Anwärterbezüge Saarland
name_en,Candidate Pay Saarland
prv,
allowances,saarland-family-allowance-stufe-1;saarland-family-allowance-stufe-2
