T,1a,1b,2,3,4,5,6
18,0.5,0.5,3,4,4,5,0
17,0.5,0.5,3,4,4,5,0
16,0.5,0.5,3,4,4,5,0
15,0.5,0.5,3,4,4,5,0
14,0.5,0.5,3,4,4,5,0
13,0.5,0.5,3,4,4,5,0
12,0.5,0.5,3,4,4,5,0
11b,0.5,0.5,3,4,4,5,0
11a,0.5,0.5,3,4,4,5,0
9,0.5,0.5,3,4,4,5,0
8b,0.5,0.5,3,4,4,5,0
8a,0.5,0.5,3,4,4,5,0
7,0.5,0.5,3,4,4,5,0
4,0.5,0.5,3,4,4,5,0
3,0.5,0.5,3,4,4,5,0
2,0.5,0.5,3,4,4,5,0
