T,0,1,2,3,4,5,6
16,0,0,0,278.72,0,0,278.72
15,0,0,0,250.15,0,0,0
14,0,0,0,0,250.15,0,0
13,0,364.89,0,364.89,0,364.89,250.15
11,0,0,0,250.15,0,0,0
9,0,364.08,222.23,0,0,0,0
6,0,0,49.28,0,0,0,0
