key,value
pay_grad_name,E
valid_from,2026.05.01
link,https://zusammen-geht-mehr.verdi.de/++file++643d66a12f5adb9e88f923da/download/3905_110_01_VKA_A.pdf
name_de,Tarifvertrag für den öffentlichen Dienst - Vereinigung der kommunalen Arbeitgeberverbände
name_en,Collective Agreement for the Public Sector - Association of Local Government Employers
prv,vbl-west;vbl-east;vbl-west-n-atv;vbl-east-n-atv;kvbw
allowances,tvoed-vka-annual-bonus
