T,0,1,2,3,4,9,11
5,0,88.12,88.12,0,0,0,0
6,0,47.76,0,0,0,0,0
9,0,355.69,0,0,0,0,0
13,0,0,0,361.44,361.44,361.44,247.81
14,0,247.81,0,0,0,0,0
15,0,247.81,0,0,0,0,0
16,0,0,277.12,0,0,0,0
