T,no,yes
16,0,34.12
15,0,34.12
14,0,34.12
13,0,34.12
12,0,25.15
11,0,25.15
10,0,25.15
9,0,25.15
8,0,18.35
7,0,18.35
6,0,18.35
5,0,18.35
4,0,18.35
