T,no,yes
1,0,90.00
2,0,90.00
3,0,90.00
4,0,90.00
5,0,90.00
6,0,90.00
8,0,90.00
9,0,90.00
10,0,110.00
11,0,110.00
12,0,130.00
13,0,130.00
14,0,150.00
15,0,150.00
