T,none,yes
6,0,164.64
5,0,164.64
8,0,162.70
7,0,162.70
16,0,168.76
15,0,168.76
14,0,168.76
13,0,168.76
12,0,168.76
11,0,168.76
10,0,168.76
9,0,168.76
