key,value
pay_grad_name,W
valid_from,2025.02.01
working_time_weekly,40
link,https://www.dbb.de/beamtinnen-beamte/besoldungstabellen.html
name_de,Sächsische Besoldungsordnung W
name_en,Saxony Salary Scale W
prv,
allowances,sachsen-family-allowance-all-stufe-1;sachsen-family-allowance-all-stufe-2
