T,0,1,2,3
16,0,5.00,1.50,5.00
15,0,5.00,1.50,5.00
14,0,5.00,1.50,5.00
13,0,5.00,1.50,5.00
12,0,5.00,1.50,5.00
11,0,5.00,1.50,5.00
10,0,5.00,1.50,5.00
9,0,5.00,1.50,5.00
8,0,5.00,1.50,5.00
7,0,5.00,1.50,5.00
6,0,5.00,1.50,5.00
