T,0,1,2
16,0,73.00,145.00
15,0,73.00,145.00
14,0,73.00,145.00
13,0,73.00,145.00
12,0,73.00,145.00
11,0,73.00,145.00
10,0,73.00,145.00
9,0,73.00,145.00
8,0,73.00,145.00
7,0,73.00,145.00
6,0,73.00,145.00
