T,no,yes
15Ü,0,5
15,0,5
14,0,5
13,0,5
12,0,6.66666666667
11,0,6.66666666667
10,0,6.66666666667
9c,0,6.66666666667
9b,0,6.66666666667
9a,0,6.66666666667
8,0,7.5
7,0,7.5
6,0,7.5
5,0,7.5
4,0,7.5
3,0,7.5
2Ü,0,7.5
2,0,7.5
1,0,7.5
