T,1,2,3,4,5,6,7,8
16,2,3,3,3,4,4,4,0
15,2,3,3,3,4,4,4,0
14,2,3,3,3,4,4,4,0
13,2,3,3,3,4,4,4,0
12,2,3,3,3,4,4,4,0
11,2,3,3,3,4,4,4,0
10,2,3,3,3,4,4,4,0
9,2,3,3,3,4,4,4,0
8,2,3,3,3,4,4,4,0
7,2,3,3,3,4,4,4,0
6,2,3,3,3,4,4,4,0
5,2,3,3,3,4,4,4,0
4,2,3,3,3,4,4,4,0
3,2,3,3,3,4,4,4,0
