key,value
pay_grad_name,B
valid_from,2025.02.01
working_time_weekly,40
link,https://www.dbb.de/beamtinnen-beamte/besoldungstabellen.html
name_de,Saarländische Besoldungsordnung B
name_en,Saarland Salary Scale B
prv,
allowances,
