key,value
pay_grad_name,AW
valid_from,2026.04.01
link,https://www.finanzverwaltung.nrw.de/uebersicht-rubrik-aktuelles-und-presse/pressemitteilungen/landesregierung-uebertraegt-tarifergebnis
name_de,Anwärterbezüge Nordrhein-Westfalen
name_en,North Rhine-Westphalia Trainee Salaries
prv,
allowances,nrw-trainee-basic-amount
