T,1,2,3,4,5
1,5566.26,0,0,0,0
2,6988.15,7251.31,7514.48,7777.64,8040.79
3,7748.39,8040.79,8347.78,8654.80,8958.89
L1,7748.39,0,0,0,0
L2,8479.39,0,0,0,0
L3,10379.89,0,0,0,0
