T,0,1,2,3,4,5,6
14,0,150,130,100,100,100,0
13,0,150,130,100,100,100,0
12,0,150,130,100,100,100,0
11,0,150,130,100,100,100,0
10,0,150,130,100,100,100,0
9,0,150,130,100,100,100,135
8,0,150,130,100,100,100,135
7,0,150,130,100,100,100,135
6,0,150,130,100,100,100,0
5,0,150,130,100,100,100,0
4,0,150,130,100,100,100,0
3,0,150,130,100,100,100,0
