T,0,1,2,3,4,5
16,0,153.88,285.4,695.16,1104.92,1514.68
15,0,153.88,285.4,695.16,1104.92,1514.68
14,0,153.88,285.4,695.16,1104.92,1514.68
13,0,153.88,285.4,695.16,1104.92,1514.68
12,0,153.88,285.4,695.16,1104.92,1514.68
11,0,153.88,285.4,695.16,1104.92,1514.68
10,0,153.88,285.4,695.16,1104.92,1514.68
9,0,153.88,285.4,695.16,1104.92,1514.68
8,0,153.88,285.4,695.16,1104.92,1514.68
7,0,153.88,285.4,695.16,1104.92,1514.68
6,0,153.88,285.4,695.16,1104.92,1514.68
5,0,159.25,317.61,732.73,1158.59,1584.45
4,0,159.25,317.61,743.47,1174.7,1605.93
3,0,159.25,317.61,754.21,1190.81,1627.41
