T,0,1,2
16,0,102.42,112.26
15,0,102.42,112.26
14,0,102.42,112.26
13,0,102.42,112.26
12,0,102.42,112.26
11,0,102.42,112.26
10,0,102.42,112.26
9,0,102.42,112.26
8,0,102.42,112.26
7,0,102.42,112.26
6,0,102.42,112.26
