T,none,yes
8,0,18.39
7,0,18.39
6,0,18.39
5,0,18.39
12,0,25.24
11,0,25.24
10,0,25.24
9,0,25.24
16,0,34.80
15,0,34.80
14,0,34.80
13,0,34.80
