T,0,1,2,3,4,5,6,7,8
10,0,,,,,,,,
9,0,,,,,,,,
8,0,,,,,,,,
7,0,,,,,,,,
6,0,,,,,,,,
5,0,,,,,,,,
4,0,,,,,,,,
3,0,,,,,,,,
2,,2,3,3,3,4,4,4,0
1,,2,3,3,3,4,4,4,0
