T,0,1,2,3,4,5,6,7,8,9,11
16,0,0,0,279.18,0,0,0,0,0,0,0
15,0,249.67,0,0,0,0,0,0,0,0,0
14,0,0,249.67,0,0,0,0,0,0,0,0
13,0,364.12,0,0,0,0,249.67,208.12,364.12,364.12,117.46
9,0,358.32,0,358.32,0,0,358.32,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,48.15,0,0,0,0,0
5,0,48.15,0,0,88.78,88.78,0,0,0,0,0
