T,0,1,2,3,4,5,6,7,8
16,0,0,0,0,0,0,305.44,0,0
15,0,0,0,364.15,0,0,0,0,273.13
14,0,0,0,0,0,273.13,0,0,0
13,0,398.38,0,0,0,0,0,182.09,0
9,0,392.01,0,0,0,0,0,0,0
8,0,84.24,0,0,0,0,0,0,0
7,0,0,0,0,0,65.39,0,0,0
6,0,0,52.65,0,0,52.65,0,0,0
5,0,52.65,0,97.13,0,0,0,0,0
4,0,52.65,97.13,0,10.58,0,0,0,0
3,0,52.65,97.13,49.04,0,0,0,0,0
