T,0,1,2,3,4,5,6,7,8
16,0,0,0,0,0,0,259.18,0,0
15,0,0,0,308.99,0,0,0,0,231.76
14,0,0,0,0,0,231.76,0,0,0
13,0,338.04,0,0,0,0,0,154.51,0
9,0,332.63,0,0,0,0,0,0,0
8,0,71.48,0,0,0,0,0,0,0
7,0,0,0,0,0,55.49,0,0,0
6,0,0,44.68,0,0,44.68,0,0,0
5,0,44.68,0,82.42,0,0,0,0,0
4,0,44.68,82.42,0,8.98,0,0,0,0
3,0,44.68,82.42,41.61,0,0,0,0,0
