T,0,2,3,4,5,6,7,8
2,,7580.00,7921.10,8277.55,8650.04,9039.29,9446.06,9871.13
3,10572.91,,,,,,,
5,11410.74,,,,,,,
6,12041.80,,,,,,,
7,12650.33,,,,,,,
8,13287.33,,,,,,,
9,14077.27,,,,,,,
10,17030.76,
