T,no,yes
2,0,182.16
4,0,159.41
7,0,136.63
8,0,135.59
8a,0,135.59
8b,0,135.59
9,0,119.56
11,0,71.36
11a,0,71.36
11b,0,71.36
14,0,63.49
15,0,107.93
16,0,300.93
17,0,30.10
