T,0,fn1,fn2,fn4,fn5,fn8,fn9,fn10,fn11,fn12
16,0,0,0,0,0,0,0,0,0,0
15,0,0,0,254.14,0,254.14,0,0,249.39,0
14,0,0,0,254.14,0,0,392.66,606.22,0,0
13,0,0,0,254.14,356.71,370.70,0,370.70,370.70,295.96
12,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
9,0,364.76,0,364.76,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
7,0,0,91.48,0,0,0,0,0,0,0
6,0,92.59,0,92.59,0,0,0,0,0,0
5,0,92.59,0,0,0,0,0,0,0,0
