key,value
pay_grad_name,AW
valid_from,2025.02.01
link,
name_de,Anwärtergrundbetrag Sachsen-Anhalt
name_en,Candidate Base Amount Saxony-Anhalt
prv,
allowances,lsa-family-allowance-stufe-1;lsa-family-allowance-stufe-2;lsa-annual-bonus;lsa-annual-bonus-child
