T,no,yes
1,0,194.15
2,0,183.13
2Ü,0,183.13
3,0,169.85
4,0,160.22
5,0,155.32
6,0,151.47
8,0,136.33
8a,0,136.33
8b,0,136.33
9,0,120.15
9a,0,120.15
9b,0,120.15
11,0,71.70
11a,0,71.70
11b,0,71.70
15,0,106.81
