T,no,yes
1,0,154.22
2,0,154.22
3,0,154.22
4,0,154.22
5,0,154.22
6,0,154.22
8,0,154.22
9,0,154.22
10,0,176.33
11,0,176.33
12,0,198.44
13,0,198.44
14,0,201.27
15,0,201.27
