T,no,yes
1,0,170.88
2,0,161.18
2Ü,0,161.18
3,0,149.49
4,0,141.02
5,0,136.70
6,0,133.31
8,0,120.00
8a,0,120.00
8b,0,120.00
9,0,105.76
9a,0,105.76
9b,0,105.76
11,0,63.11
11a,0,63.11
11b,0,63.11
15,0,94.01
