T,no,yes
18,0,4.58083333333
17,0,4.58083333333
16,0,4.58083333333
15,0,4.58083333333
14,0,4.58083333333
13,0,4.58083333333
12,0,4.58083333333
11b,0,4.58083333333
11a,0,4.58083333333
10,0,4.58083333333
9,0,4.58083333333
8b,0,6.8675
8a,0,6.8675
7,0,6.8675
4,0,6.8675
3,0,6.80333333333
2,0,6.80333333333
