T,no,yes
18,0,3.8725
17,0,6.19583333333
16,0,6.19583333333
15,0,6.19583333333
14,0,6.19583333333
13,0,6.19583333333
12,0,6.19583333333
11b,0,6.19583333333
11a,0,6.19583333333
10,0,6.19583333333
9,0,6.19583333333
8b,0,7.345
8a,0,7.345
7,0,7.345
4,0,7.345
3,0,7.28583333333
2,0,7.28583333333
