key,value
pay_grad_name,A
valid_from,2025.02.01
link,https://www.finanzen.bremen.de
name_de,Besoldungsordnung A (Bremen)
name_en,Salary Scale A (Bremen)
prv,
allowances,bremen-official-allowances-A;bremen-position-allowance-42-general;bremen-position-allowance-43-security;bremen-position-allowance-44-police-tax;bremen-position-allowance-45-fire;bremen-position-allowance-46-justice;bremen-position-allowance-47-tax;bremen-position-allowance-49-master-tech;bremen-duz;bremen-family-allowance;bremen-family-supplement-35a;bremen-overtime-4-1;bremen-overtime-4-3;bremen-annual-bonus
