T,1a,1b,2,3,4,5,6
16,0.5,0.5,2,3,4,5,0
15Ü,1,,5,5,5,,
15,0.5,0.5,2,3,4,5,0
14,0.5,0.5,2,3,4,5,0
13Ü,,,2,3,4,5,0
13,0.5,0.5,2,3,4,5,0
12,0.5,0.5,2,3,4,5,0
11,0.5,0.5,2,3,4,5,0
10,0.5,0.5,2,3,4,5,0
9b,0.5,0.5,2,3,4,5,0
9a,0.5,0.5,2,3,4,5,0
8,0.5,0.5,2,3,4,5,0
7,0.5,0.5,2,3,4,5,0
6,0.5,0.5,2,3,4,5,0
5,0.5,0.5,2,3,4,5,0
4,0.5,0.5,2,3,4,5,0
3,0.5,0.5,2,3,4,5,0
2Ü,1,,2,3,4,5,0
2,0.5,0.5,2,3,4,5,0
1,,,4,4,4,4,0
