T,no,yes
16,0,5
15Ü,0,5
15,0,5
14,0,5
13Ü,0,5
13,0,5
12,0,5
11,0,5
10,0,5
9b,0,5
9a,0,5
8,0,7.5
7,0,7.5
6,0,7.5
5,0,7.5
4,0,7.5
3,0,7.5
2Ü,0,7.5
2,0,7.5
1,0,7.5
