T,none,yes
6,0,40.27
5,0,40.27
8,0,39.79
7,0,39.79
16,0,39.31
15,0,39.31
14,0,39.31
13,0,39.31
12,0,39.31
11,0,39.31
10,0,39.31
9,0,39.31
