T,1,2,3,4,5,6
4,9604.35,10290.82,10837.35,,,
3,8164.68,8644.57,9331.05,,,
2,6518.41,7064.95,7544.84,7814.50,7961.51,8164.68
1,4938.79,5218.73,5418.68,5765.28,6178.49,6339.66
