T,0,5a-1-1,5a-1-2,5a-1-3,5a-2,5a-3,5a-4-1-1,5a-4-1-2,5a-4-2,5a-5,5a-6
2-mD,0,308,268,0,212,212,340,263,212,135,135
3-gD,0,340,295,340,237,237,340,263,212,212,212
4-hD,0,0,0,340,0,0,0,0,0,295,295
