T,1,2,3,4,5,6
16,1,2,3,4,5,0
15,1,2,3,4,5,0
14,1,2,3,4,5,0
13,1,2,3,4,5,0
12,1,2,3,4,5,0
11,1,2,3,4,5,0
10,1,2,3,4,5,0
9,1,2,3,4,5,0
8,1,2,3,4,5,0
7,1,2,3,4,5,0
6,1,2,3,4,5,0
5,1,2,3,4,5,0
