key,value
pay_grad_name,W
valid_from,2025.02.01
working_time_weekly,40
link,https://www.dbb.de/beamtinnen-beamte/besoldungstabellen.html
name_de,Hamburgische Besoldungsordnung W
name_en,Hamburg Salary Scale W
prv,
allowances,hamburg-child-allowance-all-stufe-1;hamburg-child-allowance-all-stufe-2;hamburg-w-performance-pay
