key,value
pay_grad_name,B
valid_from,2025.02.01
link,
name_de,Hamburgische Besoldungsordnung B
name_en,Hamburg Salary Scale B
prv,
allowances,hamburg-child-allowance-all-stufe-1;hamburg-child-allowance-all-stufe-2
