key,value
pay_grad_name,AW
valid_from,2025.02.01
link,
name_de,Hamburg Anwärtergrundbetrag
name_en,Hamburg Candidate Base Amount
prv,
allowances,hamburg-child-allowance-all-stufe-1;hamburg-child-allowance-all-stufe-2
