key,value
pay_grad_name,B
valid_from,2025.02.01
link,
name_de,Sächsische Besoldungsordnung B
name_en,Saxony Salary Scale B
prv,
allowances,sachsen-family-allowance-all-stufe-1;sachsen-family-allowance-all-stufe-2
