T,0,a6_1,a6_2j,a7_4,a7_5,a9_1,a13_4,a13_10_13,a14_6,a15_6,a16_8
16,0,0,0,0,0,0,0,0,0,0,276.86
15,0,0,0,0,0,0,0,0,0,298.67,0
14,0,0,0,0,0,0,0,0,247.52,0,0
13,0,0,0,0,0,0,247.52,361.06,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,355.30,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,147.95,186.55,0,0,0,0,0,0
6,0,47.72,88.03,0,0,0,0,0,0,0,0
