T,no,yes
1,0,7.28583
2,0,7.28583
2Ü,0,7.28583
3,0,7.28583
4,0,7.28583
5,0,7.345
6,0,7.345
7,0,7.345
8,0,7.345
8a,0,7.345
8b,0,7.345
9,0,6.19583
9a,0,6.19583
9b,0,6.19583
10,0,6.19583
11,0,6.19583
11a,0,6.19583
11b,0,6.19583
12,0,3.8725
13,0,3.8725
13Ü,0,3.8725
14,0,2.71083
15,0,2.71083
15Ü,0,2.71083
