T,1,2,3,4,5,6
1,5104.24,5393.56,5600.21,5958.42,6385.47,6552.04
2,6736.78,7301.63,7797.59,8076.29,8228.22,8438.20
3,8438.20,8934.16,9643.64,,,
4,9926.10,10635.56,11200.40,
