T,0,1,2,3,4,5,6
16,0,0,271.93,0,0,0,0
15,0,0,243.15,0,0,0,0
14,0,0,243.15,0,162.09,0,0
13,0,354.66,354.66,354.66,0,243.15,243.15
9,0,348.97,0,0,0,0,0
6,0,86.46,187.54,0,0,0,0
5,0,86.46,0,0,0,0,0
4,0,0,86.46,0,0,0,0
