T,no,yes
1,0,96
2,0,96
2Ü,0,96
3,0,96
4,0,96
5,0,128
6,0,128
7,0,128
8,0,128
9a,0,128
9b,0,160
9c,0,160
10,0,160
11,0,160
12,0,160
13,0,160
14,0,192
15,0,192
15Ü,0,192
