T,no,yes
1,0,27.695
2,0,27.695
3,0,27.695
4,0,27.695
5,0,27.695
5a,0,27.695
6,0,27.695
7,0,27.695
8,0,27.695
9,0,21.3041666667
10,0,21.3041666667
11,0,21.3041666667
12,0,21.3041666667
13,0,21.3041666667
14,0,21.3041666667
15,0,21.3041666667
