key,value
pay_grad_name,W
valid_from,2026.04.01
link,https://mik.brandenburg.de/mik/de/service/presse/pressemitteilungen/detail-pm-und-meldungen/~14-02-2026-tarifergebnis-2026#
name_de,Landesbesoldungsordnung W Brandenburg
name_en,State Salary Scale W Brandenburg
prv,
allowances,brandenburg-family-allowance
entgeltregelungen_de,"Werte gültig ab 01.10.2024 gemäß Tabelle 07/2024; die Werte 01.07.2024 bis 30.09.2024 sind im Archiv abgelegt."
entgeltregelungen_en,"Values valid from 2024-10-01 according to the 07/2024 table; values for 2024-07-01 to 2024-09-30 are stored in archive."
