T,no,yes
15Ü,0,4.315
15,0,4.315
14,0,4.315
13,0,4.315
12,0,5.85666666667
11,0,5.85666666667
10,0,5.85666666667
9c,0,5.85666666667
9b,0,5.85666666667
9a,0,5.85666666667
8,0,7.0425
7,0,7.0425
6,0,7.0425
5,0,7.0425
4,0,7.0425
3,0,7.0425
2Ü,0,7.0425
2,0,7.0425
1,0,7.0425
