T,no,yes
5,0,17.40
6,0,19.18
7,0,19.18
8,0,19.18
9,0,25.50
10,0,25.50
11,0,25.50
12,0,25.50
13,0,36.03
14,0,36.03
15,0,36.03
16,0,36.03
