key,value
pay_grad_name,B
valid_from,2025.02.01
working_time_weekly,40
link,https://www.dbb.de/beamtinnen-beamte/besoldungstabellen.html
name_de,Landesbesoldungsordnung Berlin B
name_en,Berlin State Salary Scale B
prv,
allowances,berlin-family-allowance;berlin-complementary-family-allowance;berlin-annual-bonus-beamte
