T,0,1,2,3,4
16,0,23.48,29.07,34.49,40.26
15,0,23.48,29.07,34.49,40.26
14,0,23.48,29.07,34.49,40.26
13,0,23.48,29.07,34.49,40.26
12,0,23.48,29.07,34.49,40.26
11,0,23.48,29.07,34.49,40.26
10,0,23.48,29.07,34.49,40.26
9,0,23.48,29.07,34.49,40.26
8,0,23.48,29.07,34.49,40.26
7,0,23.48,29.07,34.49,40.26
6,0,23.48,29.07,34.49,40.26
