T,0,1,2,3,4,5,6,7,8
16,0,0,0,0,0,0,0,0,283.34
15,0,253.32,0,0,0,0,0,0,0
14,0,253.32,379.95,0,0,0,0,0,0
13,0,253.32,0,253.32,369.51,369.51,369.51,0,0
12,0,0,0,253.32,0,0,0,0,0
11,0,0,0,0,211.17,0,211.17,0,0
9,0,368.85,0,0,0,0,0,0,0
6,0,92.70,0,0,0,0,0,0,0
5,0,92.70,92.70,0,0,0,0,0,0
